"Year","Country","Actuals","Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1960","GRC",5360,,,,,
"1961","GRC",5910,,,,,
"1962","GRC",5970,,,,,
"1963","GRC",6550,,,,,
"1964","GRC",7060,,,,,
"1965","GRC",7690,,,,,
"1966","GRC",8100,,,,,
"1967","GRC",8470,,,,,
"1968","GRC",8980,,,,,
"1969","GRC",9830,,,,,
"1970","GRC",10600,,,,,
"1971","GRC",11400,,,,,
"1972","GRC",12400,,,,,
"1973","GRC",13400,,,,,
"1974","GRC",12500,,,,,
"1975","GRC",13200,,,,,
"1976","GRC",13800,,,,,
"1977","GRC",14100,,,,,
"1978","GRC",14900,,,,,
"1979","GRC",15200,,,,,
"1980","GRC",15100,,,,,
"1981","GRC",14800,,,,,
"1982","GRC",14500,,,,,
"1983","GRC",14300,,,,,
"1984","GRC",14500,,,,,
"1985","GRC",14800,,,,,
"1986","GRC",14800,,,,,
"1987","GRC",14400,,,,,
"1988","GRC",15000,,,,,
"1989","GRC",15500,,,,,
"1990","GRC",15400,,,,,
"1991","GRC",15700,,,,,
"1992","GRC",15600,,,,,
"1993","GRC",15300,,,,,
"1994","GRC",15400,,,,,
"1995","GRC",15600,,,,,
"1996","GRC",15900,,,,,
"1997","GRC",16400,,,,,
"1998","GRC",16800,,,,,
"1999","GRC",17300,,,,,
"2000","GRC",18000,,,,,
"2001","GRC",18700,,,,,
"2002","GRC",19300,,,,,
"2003","GRC",20400,,,,,
"2004","GRC",21200,,,,,
"2005","GRC",21600,,,,,
"2006","GRC",22700,,,,,
"2007","GRC",23400,,,,,
"2008","GRC",23300,,,,,
"2009","GRC",22500,,,,,
"2010","GRC",21300,,,,,
"2011","GRC",20100,,,,,
"2012","GRC",18900,,,,,
"2013","GRC",,18223.5110650155,17634.4579683067,18812.5641617243,17322.6320948896,19124.3900351414
"2014","GRC",,17878.0822052318,16750.4373427127,19005.7270677509,16153.4982108688,19602.6661995948
"2015","GRC",,17742.0104741054,16097.4130727291,19386.6078754816,15226.8157972561,20257.2051509546
"2016","GRC",,17738.3328629678,15613.0842847251,19863.5814412104,14488.0456458627,20988.6200800728
"2017","GRC",,17818.3791886266,15251.0541073271,20385.7042699262,13891.9943038989,21744.7640733544
"2018","GRC",,17951.3712009467,14978.0239194059,20924.7184824875,13404.0289464245,22498.7134554689
"2019","GRC",,18117.8452238276,14770.4788271439,21465.2116205114,12998.4900945069,23237.2003531484
"2020","GRC",,18305.49273792,14611.8821050583,21999.1033707817,12656.6027455405,23954.3827302994
"2021","GRC",,18506.530031257,14490.5703634114,22522.4896991026,12364.649732435,24648.410330079
"2022","GRC",,18716.0348081295,14398.2535755869,23033.8160406721,12112.5582595209,25319.5113567381
"2023","GRC",,18930.8942869813,14328.9724016759,23532.8161722868,11892.8621099207,25968.926464042
"2024","GRC",,19149.1399942406,14278.3822109099,24019.8977775712,11699.9587912279,26598.3211972532
"2025","GRC",,19369.5270985134,14243.2639660882,24495.7902309386,11529.5841848162,27209.4700122105
"2026","GRC",,19591.2683882155,14221.1902857732,24961.3464906579,11378.4426557749,27804.0941206561
"2027","GRC",,19813.8660432556,14210.2968386674,25417.4352478437,11243.9464854707,28383.7856010404
