"Year","Country","Actuals","Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1960","BRA",1730,,,,,
"1961","BRA",1850,,,,,
"1962","BRA",1890,,,,,
"1963","BRA",1850,,,,,
"1964","BRA",1860,,,,,
"1965","BRA",1860,,,,,
"1966","BRA",1880,,,,,
"1967","BRA",1920,,,,,
"1968","BRA",2090,,,,,
"1969","BRA",2240,,,,,
"1970","BRA",2370,,,,,
"1971","BRA",2580,,,,,
"1972","BRA",2820,,,,,
"1973","BRA",3140,,,,,
"1974","BRA",3340,,,,,
"1975","BRA",3430,,,,,
"1976","BRA",3680,,,,,
"1977","BRA",3760,,,,,
"1978","BRA",3790,,,,,
"1979","BRA",3960,,,,,
"1980","BRA",4220,,,,,
"1981","BRA",3940,,,,,
"1982","BRA",3870,,,,,
"1983","BRA",3650,,,,,
"1984","BRA",3760,,,,,
"1985","BRA",3980,,,,,
"1986","BRA",4210,,,,,
"1987","BRA",4280,,,,,
"1988","BRA",4190,,,,,
"1989","BRA",4250,,,,,
"1990","BRA",4000,,,,,
"1991","BRA",3990,,,,,
"1992","BRA",3910,,,,,
"1993","BRA",4030,,,,,
"1994","BRA",4180,,,,,
"1995","BRA",4300,,,,,
"1996","BRA",4330,,,,,
"1997","BRA",4400,,,,,
"1998","BRA",4340,,,,,
"1999","BRA",4290,,,,,
"2000","BRA",4410,,,,,
"2001","BRA",4400,,,,,
"2002","BRA",4460,,,,,
"2003","BRA",4450,,,,,
"2004","BRA",4650,,,,,
"2005","BRA",4740,,,,,
"2006","BRA",4870,,,,,
"2007","BRA",5120,,,,,
"2008","BRA",5340,,,,,
"2009","BRA",5270,,,,,
"2010","BRA",5620,,,,,
"2011","BRA",5720,,,,,
"2012","BRA",5720,,,,,
"2013","BRA",,5778.41185564495,5610.80941255504,5946.01429873485,5522.08603855811,6034.73767273178
"2014","BRA",,5850.65451845858,5584.08617580585,6117.22286111131,5442.97341918431,6258.33561773285
"2015","BRA",,5926.17205115651,5582.64519655003,6269.69890576298,5400.79306458026,6451.55103773275
"2016","BRA",,6002.46501023615,5595.11762681677,6409.81239365553,5379.48094766405,6625.44907280825
"2017","BRA",,6078.94157541152,5616.24943925136,6541.63371157168,5371.31501774082,6786.56813308221
"2018","BRA",,6155.46161498908,5643.318181668,6667.60504831016,5372.2058247303,6938.71740524785
"2019","BRA",,6231.9919484713,5674.75703327293,6789.22686366968,5379.77468770667,7084.20920923594
"2020","BRA",,6308.52471935273,5709.58091841964,6907.46852028583,5392.5192224584,7224.53021624707
"2021","BRA",,6385.05806736355,5747.12599423053,7022.99014049658,5409.42515368336,7360.69098104375
"2022","BRA",,6461.59155202754,5786.92040591422,7136.26269814085,5429.77107492599,7493.41202912908
"2023","BRA",,6538.12506904838,5828.61465923039,7247.63547886636,5453.02253608197,7623.22760201478
"2024","BRA",,6614.6585937307,5871.94135444151,7357.37583301988,5478.77059761623,7750.54658984516
"2025","BRA",,6691.19212022711,5916.69048967961,7465.6937507746,5506.69409248247,7875.69014797174
"2026","BRA",,6767.72564715306,5962.69356428592,7572.7577300202,5536.53532189419,7998.91597241192
"2027","BRA",,6844.25917418072,6009.81293067652,7678.70541768492,5568.08377221165,8120.43457614979
