"Year","Country","Actuals","Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1960","KOR",1470,,,,,
"1961","KOR",1500,,,,,
"1962","KOR",1490,,,,,
"1963","KOR",1590,,,,,
"1964","KOR",1670,,,,,
"1965","KOR",1710,,,,,
"1966","KOR",1880,,,,,
"1967","KOR",1950,,,,,
"1968","KOR",2120,,,,,
"1969","KOR",2370,,,,,
"1970","KOR",2510,,,,,
"1971","KOR",2660,,,,,
"1972","KOR",2730,,,,,
"1973","KOR",3010,,,,,
"1974","KOR",3170,,,,,
"1975","KOR",3300,,,,,
"1976","KOR",3590,,,,,
"1977","KOR",3890,,,,,
"1978","KOR",4190,,,,,
"1979","KOR",4400,,,,,
"1980","KOR",4270,,,,,
"1981","KOR",4460,,,,,
"1982","KOR",4720,,,,,
"1983","KOR",5150,,,,,
"1984","KOR",5500,,,,,
"1985","KOR",5810,,,,,
"1986","KOR",6370,,,,,
"1987","KOR",7010,,,,,
"1988","KOR",7680,,,,,
"1989","KOR",8110,,,,,
"1990","KOR",8770,,,,,
"1991","KOR",9500,,,,,
"1992","KOR",9950,,,,,
"1993","KOR",10500,,,,,
"1994","KOR",11200,,,,,
"1995","KOR",12100,,,,,
"1996","KOR",12900,,,,,
"1997","KOR",13300,,,,,
"1998","KOR",12300,,,,,
"1999","KOR",13400,,,,,
"2000","KOR",14400,,,,,
"2001","KOR",14900,,,,,
"2002","KOR",15900,,,,,
"2003","KOR",16200,,,,,
"2004","KOR",16900,,,,,
"2005","KOR",17600,,,,,
"2006","KOR",18400,,,,,
"2007","KOR",19200,,,,,
"2008","KOR",19500,,,,,
"2009","KOR",19500,,,,,
"2010","KOR",20600,,,,,
"2011","KOR",21200,,,,,
"2012","KOR",21600,,,,,
"2013","KOR",,22168.9077917515,21737.4736959006,22600.3418876024,21509.0862814004,22828.7293021026
"2014","KOR",,22737.815583503,22080.1750117151,23395.4561552909,21732.041122193,23743.590044813
"2015","KOR",,23306.7233752545,22442.1463727038,24171.3003778052,21984.4669538823,24628.9797966267
"2016","KOR",,23875.631167006,22808.1254950587,24943.1368389533,22243.02212765,25508.240206362
"2017","KOR",,24444.5389587575,23172.8699034979,25716.2080140171,22499.6889694371,26389.3889480779
"2018","KOR",,25013.446750509,23534.0411136811,26492.8523873369,22750.8910760707,27276.0024249474
"2019","KOR",,25582.3545422605,23890.4647462919,27274.2443382291,22994.8323893769,28169.8766951441
"2020","KOR",,26151.262334012,24241.5192932022,28061.0053748218,23230.5623946986,29071.9622733255
"2021","KOR",,26720.1701257635,24586.8746927592,28853.4655587678,23457.576306298,29982.7639452291
"2022","KOR",,27289.077917515,24926.3654900468,29651.7903449833,23675.6210827172,30902.5347523128
"2023","KOR",,27857.9857092665,25259.9236471187,30456.0477714144,23884.592668897,31831.3787496361
"2024","KOR",,28426.893501018,25587.5405885401,31266.246413496,24084.4779498414,32769.3090521947
"2025","KOR",,28995.8012927695,25909.2446953732,32082.3578901659,24275.3203306394,33716.2822548997
"2026","KOR",,29564.709084521,26225.0874523122,32904.3307167299,24457.1985503361,34672.2196187059
"2027","KOR",,30133.6168762725,26535.1346713286,33732.0990812165,24630.2132596562,35637.0204928889
