"COUNTRY","YEAR","DEATHS","INJURIES","LATITUDE","LONGITUDE","Magnitude_Sum"
"ALBANIA","2005","","","  42.389","   19.812","5,50"
"ALBANIA","2006","","         1","  40.270","   19.960","4,80"
"ALBANIA","2007","","","  41.172","   19.897","5,20"
"ALGERIA","1989","      30","       245","  36.788","    2.448","6,10"
"ALGERIA","2004","","        46","  36.865","    3.421","4,70"
"ALGERIA","2004","","       300","  36.852","    3.418","4,60"
"ALGERIA","2008","       1","","  35.616","    -.570","5,30"
"ALGERIA","2010","       2","        43","  35.900","    4.120","5,20"
"ALGERIA","2013","","         5","  36.703","    5.261","5,50"
"ARGENTINA","2008","",""," -32.938","  -69.259","4,80"
"AUSTRALIA","2009","",""," -38.280","  145.250","3,10"
"AUSTRALIA","2010","","         3"," -30.794","  121.406","5,00"
"BULGARIA","2006","","         2","  41.708","   25.544","4,60"
"CHILE","1953","       9","        26"," -36.500","  -72.500","7,60"
"CHILE","2004","",""," -37.695","  -73.406","6,40"
"CHILE","2007","","         4"," -32.689","  -71.695","6,00"
"CHINA","1988","","        60","  38.111","  106.336","5,70"
"CHINA","1999","","","  40.459","  122.889","5,30"
"CHINA","1999","","         4","  39.899","  113.983","5,50"
"CHINA","1999","       1","         5","  24.589","  102.872","5,00"
"CHINA","2000","       5","      2528","  25.607","  101.063","5,50"
"CHINA","2001","","         2","  24.455","  102.660","4,70"
"CHINA","2011","","","  38.310","   76.888","5,60"
"CHINA","2011","      25","       250","  24.719","   97.969","5,40"
"CHINA","2013","","         8","  27.226","  103.071","4,90"
"CZECH REPUBLIC","2008","       2","         3","  49.914","   18.455","4,10"
"DJIBOUTI","1989","       2","         2","  11.766","   41.942","5,80"
"ECUADOR","2011","","","   -.130","  -78.370","4,00"
"FRANCE","1991","       9","","  44.885","    6.760","3,80"
"FRANCE","2002","","","  47.832","   -3.207","4,50"
"FRANCE","2003","","","  48.342","    6.570","5,70"
"FRANCE","2006","","","  42.990","    -.050","5,40"
"FRANCE","2006","","","  45.840","    -.140","4,30"
"GERMANY","1978","","","  48.290","    9.010","5,90"
"GERMANY","2003","","","  48.210","    9.000","4,70"
"GERMANY","2004","","","  48.115","    8.077","5,50"
"GREECE","1979","","","  34.530","   24.437","5,40"
"GREECE","1980","       1","","  39.203","   22.729","3,60"
"GREECE","1981","       1","         9","  38.209","   23.288","6,20"
"GREECE","1984","","","  38.396","   22.094","5,10"
"GREECE","2004","","","  37.136","   22.116","5,10"
"HUNGARY","2006","","","  47.449","   19.343","4,10"
"HUNGARY","2006","","","  48.195","   22.460","4,60"
"INDIA","2005","","","  17.072","   73.668","4,30"
"INDIA","2005","","        45","  17.145","   73.730","5,10"
"INDIA","2007","","","  17.200","   73.700","4,00"
"INDIA","2010","","","  29.872","   80.428","5,20"
"INDIA","2011","       2","","  27.449","   88.684","3,50"
"INDONESIA","1995","","","  -8.452","  125.049","6,90"
"INDONESIA","2007","       3","","  -8.277","  118.339","6,30"
"IRAN","2005","","","  28.850","   52.560","5,00"
"IRAN","2006","       2","         4","  26.759","   55.843","5,10"
"IRAN","2007","","         4","  28.154","   56.652","4,50"
"IRAN","2007","","        30","  31.680","   49.930","4,90"
"IRAN","2008","","        10","  31.730","   51.200","4,20"
"IRAN","2008","","       100","  33.860","   48.590","4,70"
"IRAN","2009","","       269","  27.334","   56.202","4,90"
"IRAN","2010","","       104","  33.370","   48.940","4,70"
"IRAN","2010","","       274","  35.217","   59.308","5,80"
"IRAN","2010","       1","         3","  29.647","   51.665","6,00"
"IRAN","2011","","        16","  30.160","   51.620","4,40"
"IRAN","2012","","         6","  31.428","   56.778","5,20"
"ITALY","2002","","         9","  37.670","   15.267","4,50"
"ITALY","2003","","","  43.883","   11.960","4,60"
"ITALY","2004","","         9","  45.626","   10.559","5,50"
"LEBANON","2008","","        10","  33.327","   35.305","5,30"
"MACEDONIA","2009","","","  41.303","   22.714","5,50"
"MEXICO","2008","","","  32.456"," -115.315","5,50"
"MYANMAR (BURMA)","1930","     500","","  17.300","   96.500","7,30"
"MYANMAR (BURMA)","2011","      75","       123","  20.687","   99.822","7,20"
"NETHERLANDS","1992","       1","        45","  51.153","    5.798","5,90"
"NEW CALEDONIA","1995","",""," -23.008","  169.900","7,70"
"NEW ZEALAND","1855","",""," -39.200","  177.600","5,50"
"NEW ZEALAND","1880","",""," -38.850","  178.850","6,00"
"NEW ZEALAND","1947","",""," -38.420","  178.880","5,60"
"NEW ZEALAND","1947","",""," -38.850","  178.870","5,90"
"NEW ZEALAND","2003","",""," -43.340","  173.040","4,90"
"NEW ZEALAND","2003","",""," -45.104","  167.144","7,10"
"NEW ZEALAND","2005","",""," -41.223","  175.210","5,50"
"NEW ZEALAND","2007","       1",""," -39.011","  178.291","6,90"
"NEW ZEALAND","2008","",""," -39.715","  176.851","5,90"
"NEW ZEALAND","2009","",""," -45.762","  166.562","7,30"
"NEW ZEALAND","2010","",""," -40.433","  176.818","5,20"
"NEW ZEALAND","2010","",""," -43.550","  172.647","4,90"
"NEW ZEALAND","2010","",""," -43.570","  172.388","5,30"
"NEW ZEALAND","2010","",""," -43.598","  172.690","4,70"
"NEW ZEALAND","2011","",""," -41.364","  174.315","5,70"
"NEW ZEALAND","2011","     181","      1500"," -43.583","  172.680","6,30"
"NICARAGUA","2009","","","  13.452","  -86.060","4,90"
"PANAMA","2006","","","   8.898","  -82.543","4,50"
"PAPUA NEW GUINEA","1988","      74","","  -6.060","  146.230","4,30"
"PERU","2005","","        10"," -16.635","  -70.794","5,40"
"PERU","2009","",""," -11.779","  -75.626","4,20"
"POLAND","2004","","         3","  54.841","   19.912","4,80"
"ROMANIA","1977","","","  42.110","   23.970","5,50"
"RUSSIA","1995","    1989","       750","  52.629","  142.827","7,50"
"SAUDI ARABIA","2004","","","  27.836","   36.905","4,60"
"SERBIA AND MONTENEGRO","1979","     131","      1001","  42.096","   19.209","6,90"
"SLOVAKIA","2004","","","  48.758","   19.217","2,20"
"SLOVENIA","2004","       1","         5","  46.296","   13.641","5,70"
"SOUTH AFRICA","2009","       2","         3"," -26.414","   27.494","3,50"
"SPAIN","2005","","","  37.910","   -1.820","4,80"
"SWITZERLAND","2006","","","  47.580","    7.600","3,90"
"TURKEY","1979","","","  39.672","   28.660","5,20"
"TURKEY","2003","","","  38.111","   28.887","5,00"
"TURKEY","2004","","         3","  37.042","   28.206","5,10"
"TURKEY","2004","","        12","  39.847","   40.874","5,30"
"TURKEY","2005","","","  38.260","   38.814","5,30"
"TURKEY","2005","","","  38.804","   26.783","4,60"
"TURKEY","2005","","        16","  39.440","   40.978","5,70"
"TURKEY","2005","","        18","  39.354","   40.890","5,90"
"TURKEY","2007","","","  38.318","   39.267","5,90"
"TURKEY","2007","","","  39.417","   33.212","5,70"
"TURKEY","2007","","","  39.446","   33.162","5,50"
"TURKEY","2007","","         2","  39.592","   42.863","5,00"
"TURKEY","2008","","","  37.507","   38.503","5,10"
"TURKEY","2011","       2","       125","  39.120","   29.040","4,60"
"TURKEY","2012","","        23","  37.294","   42.325","5,50"
"UK","1580","","","  51.019","    1.309","6,20"
"UK","1984","","","  52.878","   -4.198","5,40"
"UK","2002","","         1","  52.520","   -2.150","5,00"
"UK","2007","","         1","  51.085","    1.009","5,00"
"UK","2008","","         1","  53.403","    -.332","5,30"
"USA","1755","","","  42.700","  -70.300","7,00"
"USA","1812","       1","","  34.200"," -119.900","7,10"
"USA","1812","      40","","  34.370"," -117.650","6,90"
"USA","1838","","","  37.600"," -122.400","7,00"
"USA","1840","","","  39.800","  -75.200","5,20"
"USA","1855","","","  34.100"," -118.100","6,00"
"USA","1856","","","  37.500"," -122.300","5,50"
"USA","1862","","","  32.700"," -117.200","5,90"
"USA","1865","","","  37.200"," -121.900","6,30"
"USA","1868","      30","","  37.700"," -122.100","6,80"
"USA","1871","","","  40.400"," -124.200","5,90"
"USA","1872","      27","        56","  36.700"," -118.100","7,30"
"USA","1873","","","  42.000"," -124.000","6,70"
"USA","1892","","","  38.500"," -121.900","6,20"
"USA","1898","","","  38.200"," -122.400","6,20"
"USA","1899","       6","         8","  33.500"," -117.000","6,60"
"USA","1901","","","  36.000"," -120.500","6,40"
"USA","1923","","","  40.800"," -124.500","6,50"
"USA","1933","     120","","  33.620"," -117.970","6,30"
"USA","1935","       2","","  46.600"," -112.000","5,50"
"USA","1940","       9","","  32.733"," -115.500","6,40"
"USA","1941","","","  40.500"," -125.250","6,40"
"USA","1952","       2","","  35.333"," -118.917","5,80"
"USA","1952","      12","","  35.000"," -119.017","7,20"
"USA","1959","      28","","  44.712"," -111.215","7,70"
"USA","1969","       1","","  38.467"," -122.692","5,60"
