Loss Event Start Date,Loss Event Start Time,Claim
7/20/2010,12:00,400
7/20/2010,14:35,400
7/21/2010,1:34,600
7/22/2010,2:34,300
7/23/2010,3:34,800
7/24/2010,4:34,500
7/20/2010,5:34,1000
7/26/2010,6:34,1200
7/27/2010,7:34,400
7/28/2010,8:34,800
7/29/2010,9:34,700
7/30/2010,10:34,600
7/31/2010,11:34,500
8/1/2010,12:34,50
8/2/2010,1:34,250
8/3/2010,2:34,950
8/4/2010,3:34,756
8/5/2010,4:34,845
8/6/2010,5:34,20
8/7/2010,6:34,79
8/8/2010,7:34,845
2/22/2012,11:00,1000
2/23/2012,12:00,2000
2/24/2012,1:00,3000
2/25/2012,2:00,265
2/26/2012,3:00,43
2/27/2012,4:00,678
2/28/2012,5:00,900
2/29/2012,12:00,23.54
1/13/2010,12:00,254
2/13/2010,1:00,499
3/13/2010,2:00,599
4/13/2010,11:59,699
5/13/2010,11:59,799
1/13/2010,12:00,254
2/13/2010,1:00,499
3/13/2010,2:00,599
4/13/2010,11:59,699
5/13/2010,11:59,799
1/13/2010,12:00,0
2/13/2010,1:00,10
3/13/2010,2:00,599
4/13/2010,11:59,699
5/13/2010,11:59,799
1/13/2010,12:00,1000
2/13/2010,1:00,10
3/13/2010,2:00,599
4/13/2010,11:59,699
5/13/2010,11:59,799
