City,Year,Margin,Quantity sold,Sales revenue
"Austin","2009",1676.70,21,3930.00
"Austin","2011",3097.90,52,9861.90
"Austin","2010",230.80,2,498.00
"Boston","2009",153.60,2,422.50
"Boston","2011",4092.10,61,12677.10
"Boston","2010",555.40,7,1656.20
"ColoradoSprings","2009",150.70,9,1087.00
"ColoradoSprings","2011",1741.20,38,6724.00
"ColoradoSprings","2010",1328.20,12,2988.00
"Chicago","2010",2116.50,20,4890.40
"Chicago","2009",1165.80,10,2281.00
"Chicago","2011",6944.30,79,18406.10
"Dallas","2009",823.40,7,1550.90
"Dallas","2011",3848.30,51,10994.60
"Dallas","2010",2303.80,25,5695.60
"Houston","2009",5759.00,71,13332.10
"Houston","2011",9749.60,144,28733.00
"Houston","2010",19.30,1,129.00
"LosAngeles","2009",2790.20,30,5954.20
"LosAngeles","2011",6571.70,82,17585.20
"LosAngeles","2010",175.60,3,527.20
