Location,EndpointSerialNumber,Date,LocalTime,Status,Time_Since_Last_CDO_Activity,LocalTime (2),Time_Since_Last_CDO_Activity (2),DoorStatus_seconds
Warehouse,CD120001A67F,10/31/2015,0:00:00,Close Limit,0:00:00,12:00:00 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:00:02,Close Limit,0:00:00,12:00:02 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:00:03,Close Limit,0:00:00,12:00:03 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:00:03,Close Limit,0:00:00,12:00:03 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:00:07,Close Limit,0:00:00,12:00:07 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:00:11,Close Limit,0:00:00,12:00:11 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:00:14,Close Limit,0:00:00,12:00:14 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:00:19,Close Limit,0:00:00,12:00:19 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:00:19,Close Limit,0:00:00,12:00:19 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:00:20,Close Limit,0:00:00,12:00:20 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:00:23,Close Limit,0:00:00,12:00:23 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:00:24,Close Limit,0:00:00,12:00:24 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:00:27,Close Limit,0:00:00,12:00:27 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:00:29,Close Limit,0:00:00,12:00:29 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:00:31,Close Limit,0:00:00,12:00:31 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:00:43,Close Limit,0:00:00,12:00:43 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:00:49,Close Limit,0:00:00,12:00:49 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:00:56,Close Limit,0:00:00,12:00:56 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:00:56,Close Limit,0:00:00,12:00:56 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:00:59,Close Limit,0:00:00,12:00:59 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:01:01,Close Limit,0:00:00,12:01:01 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:01:01,Close Limit,0:00:00,12:01:01 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:01:05,Close Limit,0:00:00,12:01:05 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:01:11,Close Limit,0:00:00,12:01:11 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:01:19,Close Limit,0:00:00,12:01:19 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:01:25,Close Limit,0:00:00,12:01:25 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:01:27,Close Limit,0:00:00,12:01:27 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:01:30,Close Limit,0:00:00,12:01:30 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:01:43,Close Limit,0:00:00,12:01:43 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:01:45,Close Limit,0:00:00,12:01:45 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:01:46,Close Limit,0:00:00,12:01:46 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:01:46,Close Limit,0:00:00,12:01:46 AM,12:00:00 AM,0
