Name,Value
Aroma-Enzymatic-Flowery-Floral-Coffee Blossom,1
Aroma-Enzymatic-Flowery-Floral-Tea Rose,1
Aroma-Enzymatic-Flowery-Fragrant-Cardamon Caraway,1
Aroma-Enzymatic-Flowery-Fragrant-Corinder Seeds,1
Aroma-Enzymatic-Fruity-Citrus-Lemon,1
Aroma-Enzymatic-Fruity-Citrus-Apple,1
Aroma-Enzymatic-Fruity-Berry_like-Apricot,1
Aroma-Enzymatic-Fruity-Berry_like-Balckberry,1
Aroma-Enzymatic-Herby-Alliaceous-Onion,1
Aroma-Enzymatic-Herby-Alliaceous-Garlic,1
Aroma-Enzymatic-Herby-Leguminous-Cucumber,1
Aroma-Enzymatic-Herby-Leguminous-Garden Peas,1
Aroma-Dry Distilation-Carbony-Ashy-Charred,1
Aroma-Dry Distilation-Carbony-Ashy-Burnt,1
Aroma-Dry Distilation-Carbony-Smokey-Pipe Tobacco,1
Aroma-Dry Distilation-Carbony-Smokey-Tarry,1
Aroma-Dry Distilation-Spicy-Pungent-Thyme,1
Aroma-Dry Distilation-Spicy-Pungent-Clove,1
Aroma-Dry Distilation-Spicy-Warming-Pepper,1
Aroma-Dry Distilation-Spicy-Warming-Cedar,1
Aroma-Dry Distilation-Resinous-Medicinal-Cineolic,1
Aroma-Dry Distilation-Resinous-Medicinal-Camphoric,1
Aroma-Dry Distilation-Resinous-Turpeny-Blackcurrant,1
Aroma-Dry Distilation-Resinous-Turpeny-Piney,1
Aroma-Sugar Browning-Nutty-Nut_like-Roasted Peanuts,1
Aroma-Sugar Browning-Nutty-Nut_like-Walnuts,1
Aroma-Sugar Browning-Nutty-Malt_like-Toast,1
Aroma-Sugar Browning-Nutty-Malt_like-Balsamic Rice,1
Aroma-Sugar Browning-Carmelly-Candy_like-Roasted Almond,1
Aroma-Sugar Browning-Carmelly-Candy_like-Roasted Hazelnut,1
Aroma-Sugar Browning-Carmelly-Syrup_like-Maple Syrup,1
Aroma-Sugar Browning-Carmelly-Syrup_like-Honey,1
Aroma-Sugar Browning-Chocolatey-Vanilla_like-Butter,1
Aroma-Sugar Browning-Chocolatey-Vanilla_like-Swiss,1
Aroma-Sugar Browning-Chocolatey-Chocolate_like-Bakers,1
Aroma-Sugar Browning-Chocolatey-Chocolate_like-Dark Chocolate,1
Tastes-Sour-Soury-Acrid,1
Tastes-Sour-Soury-Hard,1
Tastes-Sour-Winey-Tangy,1
Tastes-Sour-Winey-Tart,1
Tastes-Bitter-Harsh-Alkaline,1
Tastes-Bitter-Harsh-Caustic,1
Tastes-Bitter-Pungent-Phenolic,1
Tastes-Bitter-Pungent-Creosol,1
Tastes-Sweet-Acidy-Piquant,1
Tastes-Sweet-Acidy-Nippy,1
Tastes-Sweet-Mellow-Mild,1
Tastes-Sweet-Mellow-Delicate,1
Tastes-Salt-Sharp-Astringent,1
Tastes-Salt-Sharp-Rough,1
Tastes-Salt-Bland-Soft,1
Tastes-Salt-Bland-Neutral,1
