"Year-Week","actual","seasonally adjusted","HW fitted","HW fitted level"
"2008 01","645.64","1420.30242375697",,
"2008 02","671.26","1174.60327281358","1420.30242375697","1420.30242375697"
"2008 03","583.9","912.82949922867","1401.44924157105","1401.44924157105"
"2008 04","663.73","1043.34883885131","1363.95608383464","1363.95608383464"
"2008 05","714.5","1133.98374451169","1339.35499434536","1339.35499434536"
"2008 06","646.75","1140.73459356829","1323.59628466322","1323.59628466322"
"2008 07","1222.62","1703.48478224754","1309.56479630113","1309.56479630113"
"2008 08","687.63","977.144404889047","1339.79137719573","1339.79137719573"
"2008 09","718.16","649.547235077726","1311.96446199549","1311.96446199549"
"2008 10","801.95","1260.73742375697","1261.13533778312","1261.13533778312"
"2008 11","1027.24","1441.31346149282","1261.10480472836","1261.10480472836"
"2008 12","1318.5","1445.39940488905","1274.93271835532","1274.93271835532"
"2008 13","906.76","559.574027530557","1288.01310339332","1288.01310339332"
"2008 14","825.51","955.95770677584","1232.1179382865","1232.1179382865"
"2008 15","1008.28","1040.04931054942","1210.92739229891","1210.92739229891"
"2008 16","1155.35","1083.37440488905","1197.81543975681","1197.81543975681"
"2008 17","1145.39","991.235819983387","1189.03405947273","1189.03405947273"
"2008 18","1974.16","1865.34657470037","1173.8564480287","1173.8564480287"
"2008 19","1892.79","1327.60695205886","1226.91641705119","1226.91641705119"
"2008 20","1492.99","1295.51817847395","1234.64268307047","1234.64268307047"
"2008 21","1816.37","892.446574700368","1239.3138298819","1239.3138298819"
"2008 22","1513.05","126.092423756972","1212.69773645561","1212.69773645561"
"2008 23","1720.9","1495.5254426249","1129.31947549767","1129.31947549767"
"2008 24","1748.68","1559.71280111546","1157.41948231216","1157.41948231216"
"2008 25","1601.73","1368.31515960603","1188.28857242687","1188.28857242687"
"2008 26","1700.01","1202.46798979471","1202.10251534595","1202.10251534595"
"2008 27","2729.01","1540.487832562","1202.13055922132","1202.13055922132"
"2008 28","1461.52","1259.32330426012","1228.09365796924","1228.09365796924"
"2008 29","2214.58","1737.75701495194","1230.48999596578","1230.48999596578"
"2008 30","1446.67","1069.42814702741","1269.41401132822","1269.41401132822"
"2008 31","1179.85","940.493052687789","1254.06853732151","1254.06853732151"
"2008 32","1197.39","823.492864008544","1230.00701444632","1230.00701444632"
"2008 33","1878.78","1415.78515960603","1198.81404812986","1198.81404812986"
"2008 34","1516.96","1154.2633671532","1215.46284759879","1215.46284759879"
"2008 35","1612.74","1347.59515960603","1210.76684051006","1210.76684051006"
"2008 36","1061.9","1220.54978224754","1221.26605964942","1221.26605964942"
"2008 37","1094.02","1283.92487658716","1221.21109768353","1221.21109768353"
"2008 38","1002.89","1232.97893319093","1226.02330112297","1226.02330112297"
"2008 39","1121.89","1314.28176337961","1226.55702620136","1226.55702620136"
"2008 40","1278.09","1255.6121407381","1233.28839033462","1233.28839033462"
"2008 41","950.05","857.359593568293","1235.00135406207","1235.00135406207"
"2008 42","1372.7","1459.89251809659","1206.02384687791","1206.02384687791"
"2008 43","901.3","1199.50619734188","1225.50389917523","1225.50389917523"
"2008 44","1005.04","1180.55619734188","1223.50902289179","1223.50902289179"
"2008 45","783.78","1197.15610300225","1220.21313260326","1220.21313260326"
"2008 46","867.45","1185.80789545509","1218.44390231466","1218.44390231466"
"2008 47","749.12","1075.49563130414","1215.93965034316","1215.93965034316"
"2008 48","730.64","713.355348285274","1205.1629884471","1205.1629884471"
"2008 49","773.04","1209.21789545508","1167.42521440596","1167.42521440596"
"2008 50","669.98","1065.28317847395","1170.6320835662","1170.6320835662"
"2008 51","643.3","881.550442624896","1162.54836779769","1162.54836779769"
"2008 52","1188.64","1272.55770677584","1140.98661206183","1140.98661206183"
"2008 53","630.54","1305.3554426249","1151.08242968888","1151.08242968888"
